,job,job_link,company,company_link
83,Office Executive Cum Accountant,https://www.jobsnepal.com/job/office-executive-cum-accountant/115525,JobsNepal.com Direct Recruitment Service,https://www.jobsnepal.com/employer/jobsnepal-com-direct-recruitment-service/355
84,HR Assistant,https://www.jobsnepal.com/job/hr-assistant/115524,JobsNepal.com Direct Recruitment Service,https://www.jobsnepal.com/employer/jobsnepal-com-direct-recruitment-service/355
85,SEO Expert,https://www.jobsnepal.com/job/seo-expert/115523,VIS Nepal,https://www.jobsnepal.com/employer/vis-nepal/6759
86,Tour Officer,https://www.jobsnepal.com/job/tour-officer/115522,Dharma Adventures,https://www.jobsnepal.com/employer/dharma-adventures/1141
87,Receptionist/Front Desk Officer,https://www.jobsnepal.com/job/receptionist-front-desk-officer/115521,JobsNepal.com Direct Recruitment Service,https://www.jobsnepal.com/employer/jobsnepal-com-direct-recruitment-service/355
88,Sales & Marketing Officer,https://www.jobsnepal.com/job/sales-marketing-officer/115520,JobsNepal.com Direct Recruitment Service,https://www.jobsnepal.com/employer/jobsnepal-com-direct-recruitment-service/355
89,Accountant,https://www.jobsnepal.com/job/accountant/115518,JobsNepal.com Direct Recruitment Service,https://www.jobsnepal.com/employer/jobsnepal-com-direct-recruitment-service/355
90,Front Desk/ Secretarial,https://www.jobsnepal.com/job/front-desk-secretarial/115517,Gateway Payment Services Pvt. Ltd,https://www.jobsnepal.com/employer/gateway-payment-services-pvt-ltd/11671
91,Accountant and Administration,https://www.jobsnepal.com/job/accountant-and-administration/115516,Gateway Payment Services Pvt. Ltd,https://www.jobsnepal.com/employer/gateway-payment-services-pvt-ltd/11671
92,Sales Manager,https://www.jobsnepal.com/job/sales-manager/115515,Ibestjob Pvt Ltd,https://www.jobsnepal.com/employer/ibestjob-pvt-ltd/11487
93,Marketing Officer,https://www.jobsnepal.com/job/marketing-officer/115514,Gateway Payment Services Pvt. Ltd,https://www.jobsnepal.com/employer/gateway-payment-services-pvt-ltd/11671
94,DataBase Engineer- Trainee,https://www.jobsnepal.com/job/database-engineer-trainee/115513,Sage Nepal Private Limited,https://www.jobsnepal.com/employer/sage-nepal-private-limited/11668
95,DataBase Engineer- Associate,https://www.jobsnepal.com/job/database-engineer-associate/115512,Sage Nepal Private Limited,https://www.jobsnepal.com/employer/sage-nepal-private-limited/11668
96,Sr. Laravel Developer,https://www.jobsnepal.com/job/sr-laravel-developer/115509,Innology Solution Pvt. Ltd.,https://www.jobsnepal.com/employer/innology-solution-pvt-ltd/11340
97,HR Assistant/ Office Administrator,https://www.jobsnepal.com/job/hr-assistant-office-administrator/115508,Smart Solutions,https://www.jobsnepal.com/employer/smart-solutions/2936
98,Mid/Senior PHP Developer,https://www.jobsnepal.com/job/mid-senior-php-developer/115507,ThemeGrill Pvt Ltd,https://www.jobsnepal.com/employer/themegrill-pvt-ltd/8542
99,Mathematics Teacher,https://www.jobsnepal.com/job/mathematics-teacher/115511,Prime college,https://www.jobsnepal.com/employer/prime-college/8269
100,WordPress Expert,https://www.jobsnepal.com/job/wordpress-expert/115506,VIS Nepal,https://www.jobsnepal.com/employer/vis-nepal/6759
