,job,job_link,company,company_link
16,Health Systems Strengthening Advisor (Senior Technical Advisor 1),https://www.jobsnepal.com/job/health-systems-strengthening-advisor-senior-technical-advisor-1/115596,RTI International,https://www.jobsnepal.com/employer/rti-international/7155
17,Backend and Frontend Developer PHP Requirement,https://www.jobsnepal.com/job/backend-and-frontend-developer-php-requirement/115595,T,https://www.jobsnepal.com/employer/t/11691
18,वरिष्ठ सहायक,https://www.jobsnepal.com/job/rastra-utthan-laghubitta-bittiya-sanstha-limited/115594,RASTRA UTTHAN LAGHUBITTA BITTIYA SANSTHA LIMITED,https://www.jobsnepal.com/employer/rastra-utthan-laghubitta-bittiya-sanstha-limited/11689
19,PHP Developer,https://www.jobsnepal.com/job/php-developer/115591,Smart Solutions,https://www.jobsnepal.com/employer/smart-solutions/2936
20,Manager/Marketing and Public Relation Officer/Assistant Officer – Business development/Account ass,https://www.jobsnepal.com/job/manager-marketing-and-public-relation-officer-assistant-officer-business-development-account-ass/115590,Needs Nepal,https://www.jobsnepal.com/employer/needs-nepal/11352
21,सिलबन्दी बोलपत्र आव्हानको सुचना,https://www.jobsnepal.com/job/bagmati-welfare-society-nepal-bwsn/115589,Bagmati Welfare Society Nepal(BWSN),https://www.jobsnepal.com/employer/bagmati-welfare-society-nepal-bwsn/7893
22,Financial Analyst - Corporate Advisory,https://www.jobsnepal.com/job/financial-analyst-corporate-advisory/115592,AD Capital Group,https://www.jobsnepal.com/employer/ad-capital-group/11571
23,Teller Cum Customer Service,https://www.jobsnepal.com/job/teller-cum-customer-service/115588,Synergy Saving & Credit Cooperative,https://www.jobsnepal.com/employer/synergy-saving-credit-cooperative/9665
24,Project Manager,https://www.jobsnepal.com/job/project-manager/115587,Palm Mind IT Consultancy,https://www.jobsnepal.com/employer/palm-mind-it-consultancy/11687
25,PHP/ANDROID Developers,https://www.jobsnepal.com/job/php-android-developers/115586,Milestone Software Pvt.Ltd,https://www.jobsnepal.com/employer/milestone-software-pvt-ltd/3207
26,IT Officer,https://www.jobsnepal.com/job/it-officer/115585,"Mid-west Academy and Research Institute, Campus of Live Sciences",https://www.jobsnepal.com/employer/mid-west-academy-and-research-institute-campus-of-live-sciences/11688
27,Agro-Farm Manager,https://www.jobsnepal.com/job/agro-farm-manager/115584,"Mid-west Academy and Research Institute, Campus of Live Sciences",https://www.jobsnepal.com/employer/mid-west-academy-and-research-institute-campus-of-live-sciences/11688
28,Assistant Campus Chief,https://www.jobsnepal.com/job/assistant-campus-chief/115583,"Mid-west Academy and Research Institute, Campus of Live Sciences",https://www.jobsnepal.com/employer/mid-west-academy-and-research-institute-campus-of-live-sciences/11688
29,Private Sector Engagement (PSE) expert,https://www.jobsnepal.com/job/private-sector-engagement-pse-expert/115582,SNV Nepal,https://www.jobsnepal.com/employer/snv-nepal/10435
30,Admin & Finance Assistant,https://www.jobsnepal.com/job/admin-finance-assistant/115578,Pokhara Trade Mall & Housing Pvt.Ltd.,https://www.jobsnepal.com/employer/pokhara-trade-mall-housing-pvt-ltd/11685
31,Senior Technical Specialist,https://www.jobsnepal.com/job/senior-technical-specialist/115579,FHI 360 Nepal,https://www.jobsnepal.com/employer/fhi-360-nepal/299
32,Invitation For Bids,https://www.jobsnepal.com/job/invitation-for-bids/115580,Restless Development,https://www.jobsnepal.com/employer/restless-development/6502
33,Sr.Software Engineers,https://www.jobsnepal.com/job/sr-software-engineers/115577,Ambarkaar Software Pvt. Ltd.,https://www.jobsnepal.com/employer/ambarkaar-software-pvt-ltd/9372
34,Commi Chefs,https://www.jobsnepal.com/job/commi-chefs/115576,The Vesper Cafe & Restaurant P. Ltd.,https://www.jobsnepal.com/employer/the-vesper-cafe-restaurant-p-ltd/8102
35,Consultancy Opportunity,https://www.jobsnepal.com/job/consultancy-opportunity/115575,Handicap International,https://www.jobsnepal.com/employer/handicap-international/11119
36,Finance Assistant,https://www.jobsnepal.com/job/finance-assistant/115574,"CRS, Nepal",https://www.jobsnepal.com/employer/crs-nepal/9112
37,Consultancy for preparing video documentary on forum theatre on flash flood response project,https://www.jobsnepal.com/job/consultancy-for-preparing-video-documentary-on-forum-theatre-on-flash-flood-response-project/115581,Oxfam in Nepal,https://www.jobsnepal.com/employer/oxfam-in-nepal/7963
38,Front Office Associate,https://www.jobsnepal.com/job/front-office-associate/115571,DAI,https://www.jobsnepal.com/employer/dai/9362
39,Law and Policy Specialist,https://www.jobsnepal.com/job/law-and-policy-specialist/115572,DAI,https://www.jobsnepal.com/employer/dai/9362
40,Organizational Development Specialist,https://www.jobsnepal.com/job/organizational-development-specialist/115573,DAI,https://www.jobsnepal.com/employer/dai/9362
41,Request for sealed quotation,https://www.jobsnepal.com/job/request-for-sealed-quotation/115569,One Heart Worldwide,https://www.jobsnepal.com/employer/one-heart-worldwide/7889
42,Control Room Officer,https://www.jobsnepal.com/job/control-room-officer/115570,GEMS School,https://www.jobsnepal.com/employer/gems-school/8398
43,Expression of Interest,https://www.jobsnepal.com/job/expression-of-interest/115567,Good Neighbors Japan,https://www.jobsnepal.com/employer/good-neighbors-japan/10155
44,Consultancy Service For UPR Submission Report,https://www.jobsnepal.com/job/consultancy-service-for-upr-submission-report/115566,Nepal National Dalit Social Welfare Organization (NNDSWO),https://www.jobsnepal.com/employer/nepal-national-dalit-social-welfare-organization-nndswo/10514
45,Program and Documentation Specialist,https://www.jobsnepal.com/job/program-and-documentation-specialist/115568,FHI 360 Nepal,https://www.jobsnepal.com/employer/fhi-360-nepal/299
46,Medical Officer,https://www.jobsnepal.com/job/medical-officer/115551,International Nepal Fellowship,https://www.jobsnepal.com/employer/international-nepal-fellowship/450
47,Admin Finance Manager,https://www.jobsnepal.com/job/admin-finance-manager/115565,Nepal National Dalit Social Welfare Organization (NNDSWO),https://www.jobsnepal.com/employer/nepal-national-dalit-social-welfare-organization-nndswo/10514
